Model,Accuracy
Gini,0.9853658536585366
Entropy,0.9853658536585366
Max Depth (5),0.8439024390243902
Min Samples Split (10),0.9414634146341463
Min Samples Leaf (5),0.8975609756097561
Cost Complexity Pruning,0.7902439024390244
Random Splitter,0.9853658536585366
